"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Logging","Logowanie Page","","0","0","16","0","0"
"Register","Logowanie Page","","0","0","18","0","0"
"Website Architecture","O nas Page","","0","0","9","0","0"
"Page Functionality","Wyjazdy Page","","0","0","6","0","0"
"Page Functionality","Logowanie Page","","0","0","2","0","0"
"Page Functionality","Galeria Page","","0","0","7","0","0"
"Page Functionality","News Page","","0","0","3","0","0"
"Page Responsiveness","MainPage","","0","1","12","0","0"
"Navigation","MainPage","","0","0","3","0","0"
"Website Architecture","News Page","","0","0","1","0","0"
"","","","0","0","1","0","0"
"Navigation","News Page","","0","0","2","0","0"
"Website Architecture","Treningi Page","","0","0","3","0","0"
"Page Functionality","MainPage","","1","0","0","0","0"
